_1.365,_0.7588,0.33435,1.716,0.18766,0.1467,0.3831,0.8449,_0.7469,0.9075,_1.864,2.154,_0.0745,_1.577,2.266,_0.1606,1.223,_0.2062,_0.26448,2.425,4.235,_0.2423,_1.988,1.611,_0.9822,_2.336,_0.7156,_0.6364,1.891,_0.4032,_0.3697
1.705,0.9236,_0.1964,1.128,2.238,_2.057,_2.622,_1.662,_1.138,_1.779,_1.945,0.5982,0.9872,0.4038,0.4603,2.131,0.4382,0.2366,2.869,2.551,2.145,_2.486,_2.99,0.9454,_0.4949,0.0666,0.1894,_2.377,_1.126,0.7734,_0.0592
1.675,0.846,_0.589,1.597,2.367,_2.135,_2.461,_1.826,_0.9272,_1.469,_2.002,0.3286,0.989,0.2663,0.3613,2.06,0.5028,0.3387,2.965,2.376,1.877,_2.55,_2.798,1.026,_0.5929,0.2242,0.119,_2.464,_0.9153,0.829,_0.1732
_0.3992,0.103,0.4051,_0.2573,_0.5155,_1.196,_1.089,0.3129,0.0733,_1.206,_0.592,0.43253,0.9296,0.9442,1.116,1.194,0.1562,1.028,0.735,2.313,2.13,0.5728,0.1355,0.3412,0.8642,_0.6799,0.2635,_0.8465,_0.6113,0.1325,_0.0979
0.4973,_0.1676,0.1369,_0.09492,_0.4874,_1.197,_0.8623,_1.524,0.6252,_0.56746,_0.2489,_0.3769,_0.4526,_0.0626,_0.231,0.4393,0.3395,0.5484,0.1393,1.599,1.316,_0.1428,0.01974,0.6006,_0.3986,_0.323,_0.1821,_1.69,0.1072,0.0271,1.12
_0.5516,_1.017,_1.177,1.941,_1.681,_1.382,_0.5028,_1.567,_1.32,_0.7371,0.50087,_0.3692,1.612,1.404,0.2081,0.5143,0.5955,_0.4571,0.1113,1.609,0.379,1.549,_0.2653,_0.1892,_0.231588888888889,_0.4825,0.8566,0.6596,_0.802,1.429,0.9287
0.65758,2.729,_2.313,1.279,0.376533333333333,_1.639,_2.03,_2.228,_1.10265,_4.151,1.037,_0.4677,1.627,1.296,0.1007,0.1668,_0.12414,0.5935,2.239,1.185,2.535,_0.07859,_1.54,_0.6172,1.797,_2.363,_0.0448,0.5671,_1.83,0.40796,0.4341
0.242,_0.5672,_1.846,1.576,_2.459,_2.483,_2.45,_2.373,_1.074,_3.432,_0.0085,_0.3735,1.735,0.9818,0.12004,0.8504,1.134,0.35482,3.09,1.538,1.507,1.675,_1.645,0.2399,1.742,_1.406,0.1395,0.7427,_1.726,1.255,0.1408
_0.6086,0.492,_1.671,_0.4248,_0.933566666666667,_1.931,_2.237,_2.593,_1.298,_0.5933,_0.8374,_0.156944444444444,0.4959,0.0684,0.1078,1.188,0.913,0.205,1.636,1.932,1.758,1.749,_1.192,_0.0166,2.506,_0.04228,1.731,1.369,_0.1512,1.519,_0.2208
_2.017,_1.379,_1.575,_0.1868,_0.88563,_2.217,_2.415,_2.202,_0.8108,_1.651,_0.5273,_0.8305,0.4727,0.8329,0.3835,0.856,1.242,1.179,1.97,2.126,2.263,1.887,_1.006,1.473,1.782,_1.945,1.177,1.174,_1.522,0.6466,0.0457
_1.363,_0.84854,_0.4044625,_0.167,_0.7286,_1.827,0.7748,_1.739,_2.023,_0.3975,_0.1268,0.0727625,0.9684,_0.1905,0.2264,0.5253,0.4458,_0.2005,2.931,1.559,1.784,1.208,_1.408,0.61,_0.348142857142857,_0.7971,0.9365,1.412,_0.277475,1.357,0.3273
0.9475,_0.4208,0.00315999999999999,_0.4483,_0.1223125,_0.4133,_0.3981,_0.9316,_1.213,_0.1738,0.3402,_1.023,_1.00679,_0.7871,_0.2069,0.0598,_0.89,1.552,0.97209,0.7885,0.745,0.9357,_1.202,_1.906,_1.902,0.3152,_0.6453,_0.341,0.607,_0.2042,_0.0474
0.1051,_1.593,_0.5917,_1.452,_1.835,_0.456,_1.067,0.3986,_0.3248,_1.534,0.8223,0.0626,0.2049,0.2048,0.0201,0.2449,_1.333,1.248,0.6195,0.3307,0.6767,_0.137,_0.563,_0.4218,_3.714,_0.2849,0.9838,0.6049,0.9317,_0.7372,_0.8748
_1.643,_2.007,_1.208,_0.4947,_0.773,_1.111,_1.234,_1.082,_0.8417,0.3919,0.6606,0.3527,_0.1808,_0.9044,_0.4476,_1.492,_1.056,1.057,_0.3124,0.9778,1.386,2.147,_0.419,0.1895,_3.34,0.0655777777777778,1.333,2.764,0.1721,0.0572,0.6298
_0.2907,_0.6402,_0.8224,_2.155,_0.209025,_0.4893,_0.2893,_1.137,0.0508,_0.7704,_0.1455,0.1624,_0.1005,_0.0203,_0.6539,0.3273,_0.582,0.5734,2.147,1.184,0.923,_0.4812,_1.053,_0.0177,_0.2347,_0.1021,_0.3484,0.4692,_0.5488,0.3385,0.3606
_0.7672,_1.852,_1.781,_0.84702,_0.8788625,_1.665,_0.851,_1.337,0.0989,_0.02781,_0.7129,0.5934,0.5219,_0.35371,_0.5874,1.272,_0.729,_0.1431,3.204,0.7676,0.9036,0.7685,_1.171,_0.3037,0.0286,_0.7095,_0.97,_1.137,_2.167,_0.0715,_0.6681
0.7153,_0.236,_1.215,_0.49014,_0.154,_0.5944,_1.256,_0.1025,_0.69278,_0.9807,0.2006,1.244,0.2423,0.35588,_1.024,_0.1992,0.23151,_0.4667,2.284,_0.6164,_0.32913,0.6297,_0.6051,_0.7906,0.184,0.000277777777777766,0.2178,0.3483,_0.207,_0.2205,_0.8569
0.1721,0.3676,_0.3674,_1.093,_0.482185714285714,_0.5434,_1.067,_1.059,_1.256,_0.7945,_0.2408,1.079,_0.4893,_0.8301,_0.3181,0.7242,_0.4127,0.3688,1.31508571428571,_0.1722,0.2994,1.115,_1.557,_0.6294,_0.22253,_1.682,0.8606,_0.41624,_0.0709,_1.065,_1.606
_0.9907,_0.5492,_0.8195,_0.4571,_0.8004,_0.606,_0.5854,_0.5884,1.137,_0.7066,1.018,_0.0639,_0.7989,_0.92596,_0.615,_0.4097,_0.5552,0.0643,0.8016,_0.1146,0.4593,0.1258,0.1498,_0.2642,_0.29125,_0.5157,_0.2366,_0.4626,_0.2045,_0.9143,_1.108
0.2247,0.9695,_1.304,_1.16,_0.4714375,_1.25,_0.9016,_1.654,_0.25048,_0.85,1.393,1.109,_0.0421,_0.4304,_0.8539,_0.6258,0.5663,0.5442,1.546,_0.5294,0.3673,0.29781,_1.771,_0.8053,1.117,_1.163,0.0167,0.5354,_0.8422,_0.0459111111111111,0.183
_0.2527,_0.2041,_0.9154,0.642,_0.3429,_1.695,_2.133,_0.4923,_0.8068,_1.249,_1.917,_0.3872,_0.1631,_0.4779,0.0834,_0.0643,1.951,0.2413,_1.108,2.239,2.383,_0.4831,_0.22554,0.4517,0.3574,0.6469,0.2101,_0.5733,0.32,0.1461,_0.5816
_0.323,_0.4445,_1.145,_0.38051,_0.3428,_1.665,_1.703,_0.5027,_1.177,_0.7993,_1.688,_0.168455555555556,_0.2629,_0.6376,0.0535,0.1653,1.721,0.5716,_0.8077,2.239,1.963,_0.7933,0.6513,0.392,0.5279,0.5972,0.2597,_0.5338,0.1105,_0.0441,_0.5813
_0.1137,0.8264,0.9513,_2.26,_1.774,_3.85,_3.595,_0.8966,3.284,0.0484,_3.332,_0.672877777777778,_2.549,_2.872,_0.7283,0.2804,_1.486,_0.2556,2.901,3.2,2.825,_1.28,0.6787,0.6298,0.1365,0.9109,_1.278,0.481,1.871,2.07,1.822
0.2263,_0.2372,_0.1183,_0.7946,_1.103,_0.6811,_0.1844,_1.252,_0.262,_0.278,_0.4097,_0.237,_1.781,_0.5641,_0.6175,_0.562,_0.3263,0.4276,_0.5824,0.7376,1.196,2.027,_0.1387,_0.2303,_0.1293,0.124,_0.2269,_0.4865,_0.1075,_0.1733125,0.44
0.7174,0.1952,1.122,_0.1732,_1.298,_0.3841,_0.5405,_0.9151,_0.6524,0.3197,_3.881,_0.385,_2.821,_0.4508,_0.1341,_0.4237,_1.218,0.84112,_0.3982,1.738,1.95,3.012,_0.4529,0.5031,_0.0644,_0.4979,_1.03,_0.3249,1.194,0.2416,0.1563
0.136,_0.2403,_0.4188,_1.312,_1.081,_0.5259,_0.5695,_1.026,_0.3491,_0.3921,_2.026,_1.141,_1.074,_0.8493,_0.1475,_0.774,_0.9277,_0.6555,_0.382,0.982,1.328,1.795,0.1961,0.0753,2.125,0.7598,_0.218,_0.2476,0.8374,0.0874285714285715,_0.1373
0.2286,0.097,_0.1236,_0.7531,_0.211,_1.524,_1.634,_0.6242,_0.0166,_1.379,_1.311,_0.7908,_1.01174,_1.559,_0.4231,0.0092,_0.8064,1.387,0.77329,1.625,2.121,2.979,0.6432,_0.6812,_0.1488,_0.6318,0.1394,_0.9413,0.1675,0.5082,0.497
0.1396,0.1984,_0.1745,_0.074,0.6665,_1.232,_1.364,_1.003,_0.0052,_0.6694,_1.339,_0.5627,_1.303,_1.49,_0.6035,_0.0096,_0.9258,1.076,1.505,1.536,1.981,2.88,0.6418,_0.0522,0.1097,_0.0529,0.3509,_0.9695,_0.1144,0.789,0.386
0.0498,_0.314,0.0926,_0.2748,0.1177,_1.271,_1.352,_0.5636,_0.3194,_0.7065,_1.011,_0.1616,_1.676,_1.764,0.3628,0.7364,_1.418,0.5313,0.7193,1.079,1.125,0.1462,_0.1504,0.679,_0.8722,0.417,0.6249,_0.156,1.017,_0.3642,_0.2462
1.523,_0.8096,_0.4098,_0.3876,0.4724,_0.8541,_0.34199,_0.1552,_0.8742,0.4374,_1.577,_0.8196,_1.529,_0.825,_0.0497,_1.803,0.3774,0.58584,0.8521,1.736,1.323,0.7667,1.063,_0.8653,_1.349,0.1385,_1.119,_0.5102,_0.5612,0.3663,0.7864
_2.31,_2.244,_1.526,_1.539,_1.918,_2.432,_1.932,_2.01,_1.15819,_2.161,_2.095,_1.992,_0.7341,_0.7861,1.838,3.163,0.3712,_2.495,_0.6604,5.022,5.418,2.05,2.555,0.7978,_0.4053,0.4638,_0.658,0.135,2.117,0.7094,2.317
_0.4896,_1.13,_1.607,0.7725,_0.2242,_0.8153,0.7828,_1.679,_0.5118,_0.0925,_3.474,_0.1879,_0.2026,0.951,0.1026,1.569,_0.1061,0.7739,_0.7011,2.995,3.023,2.759,0.08693,_0.007,_0.27355,0.4308,_0.5034,0.1658,_0.4288,_0.9013,0.2906
_2.016,_1.413,_1.546,_1.688,_0.4557,_0.5255,0.4645,_0.7045,_0.1345,_1.284,_1.881,_0.3527,0.3867,0.8884,_0.2423,2.35,_0.0311,1.794,_1.328,3.438,3.5,2.917,_0.563,0.1521,_0.2853,0.5619,_0.1865,_1.915,_1.155,_0.6539,_0.457
_0.3058,_0.1166,0.20529,_0.40591,8e_04,_0.306,_0.6552,0.4933,_1.25,0.1447,_1.16,_1.623,0.4139,_0.04739,0.7377,1.834,_0.5685,_0.169,0.451,0.4495,1.356,1.571,_0.1522,_0.639,0.337,_0.70518,_1.324,_2.813,0.2658,_0.9188,0.2476
_4.724,_3.461,_0.62245,_1.55346,_0.3507,_3.282,_1.306,_2.619,0.5885,_0.4493,1.46,0.7024,_0.2955,_0.711,1.646,2.158,_0.107,2.256,1.385,0.3438,0.2463,0.48504,1.083,0.0294,_2.1,0.2453,1.277,0.3184,_1.83,_0.6447,1.09339
_1.506,_0.172,_0.3267,_1.808,_0.8212,_1.295,_0.5949,_0.3872,0.6256,0.0717,_0.8104,0.0381,0.8578,_0.7149,_0.6116,_0.1358,_0.404,0.40686,_0.5806,0.4554,0.4759,0.9191,2.119,0.6528,_0.4237,_1.394,_1.297,0.0365,0.3963,_1.691,_0.3536
_0.9342,_0.2243,_0.2442,_1.741,_1.029,_0.7784,_0.7519,_0.5563,0.1498,0.0371,_0.2711,0.0367,_0.1183,0.0949,_0.2898,0.1985,_0.5066,0.9296,_0.0524,0.3233,0.5254,0.594,1.801,_0.6267,_0.9904,_0.4662,_1.096,_0.2531,_0.4648,_0.2364,_0.6099
_1.595,_1.63,_0.9974,_1.196,_0.5822,_1.778,_0.579,_1.756,_0.0614,_1.201,0.3705,0.92,1.219,0.5257,_1.192,_0.4843,_0.5121,_0.0147,_0.28921,2.501,1.705,1.29,1.864,0.0554,_1.576,_0.4985,_1.853,0.9532,0.0201,0.07524,_0.7299
0.07774,_1.279,_0.5508,_0.4675,_1.656,1.916,0.4765,0.357,0.48471,0.3027,_0.885933333333333,_0.1656,_1.717,0.3985,_0.029,_0.5954,0.1885,1.482,_0.7061,0.3111,0.42445,0.6827,_0.6718,0.7142,_3.509,_0.1594,_0.7274,_0.414,0.0164,_0.13622,_0.4819
_0.3545,_1.017,_0.6137,_0.0929,_1.159,0.9255,0.7835,_1.15,_1.619,_0.366,0.1097,0.0727,_0.3388,0.0342,0.1558,0.0868,1.408,0.2067,0.1659,0.2368,_0.2147,0.1273,0.3133,_0.2914,_2.388,_0.17997,_0.3914,0.4375,0.1819,0.6371,0.8896
_0.702,_2.432,_1.977,1.384,_1.325,1.231,0.454,_2.388,_1.335,0.0485,_0.5554,0.1582,_0.5792,_0.2527,0.1051,0.0344,2.087,0.3497,0.4338,0.7668,0.0027,0.4021,_0.1594,0.3366,_1.87,_0.4782,_0.8181,_0.0764,_0.7726,0.8219,0.4299
_0.4754,_2.253,_2.202,0.6781,_1.211,1.324,1.133,_1.895,_2.035,_0.2184,_0.7971,0.2041,_0.5139,_0.508,_0.139,0.4086,2.184,0.2847,0.767,0.9273,_0.368,0.2553,_0.0611,_0.1608,_1.302,0.2097,_0.8474,0.2453,_0.6367,0.755,0.939
_1.132,_0.7471,_0.7314,_1.094,_1.287,0.1178,_0.459,_0.8659,_1.667,_1.027,0.78635,1.866,_0.6241,_0.7849,2.212,0.9024,_0.299,_0.1813,_0.9342,0.1609,0.17816,0.6187,1.235,_1.006,_0.5865,_1.328,_0.9261,0.0268,_0.8952,2.558,1.404
_1.744,_0.6509,_1.424,_0.3536,_1.141,0.2868,0.0932,_1.412,_1.713,_0.1688,_1.155,0.4908,_1.025,0.3198,2.05,1.081,_0.7752,0.4225,_1.103,0.7592,0.1431,0.9867,1.406,_0.2825,_1.935,_1.212,_1.245,_0.3416,_0.5801,3.136,1.717
_1.004,_1.133,_0.03461,_0.47469,_0.6602,0.1542,_0.0487,_1.091,_0.8547,_1.099,_0.6325,_0.16273,_0.13323,_0.3024,_0.027,1.694,0.5622,0.6771,0.12635,0.1602,_0.0913,0.8622,0.0079,_0.2354,_0.143014285714286,_0.2077,_0.0563,_0.3042,0.2783,0.3823,0.8805
_1.227,_1.29,_1.176,_2.749,_1.518,_0.612,_0.8391,0.4924,_0.0288,_0.6287,_0.3847,1.115,0.263,0.3983,_0.6005,0.839,_0.2062,0.8819,1.916,0.1768,_0.1417,0.2832,_0.5233,_0.1611,0.132055555555556,0.0957,_0.4382,0.0868,_0.3057,0.07509,0.0481
_0.3811,_1.049,_0.7442,_1.066,_0.6406,_1.689,_1.488,_0.7128,0.2006,_0.4599,_1.744,0.4344,0.2118,0.0233,_0.3825,1.135,0.0321,_0.2035,0.2723,_0.2921,_0.8662,_0.6763,_0.9302,0.4638,0.88797,0.7365,0.89,1.461,_0.4966,1.023,1.228
_0.44822,_1.584,_0.7048,0.3285,_0.0797,_0.7666,_0.5206,_0.7278,_1.405,_0.10623,_2.709,_0.0162,_0.4178,0.4043,0.3955,0.2588,_0.2099,_0.5495,0.1224,0.9223,0.0507,0.0916111111111112,_1.432,0.8708,_0.1206,_0.9943,1.634,1.155,_0.1151,_0.3911,0.4029
_0.3165,_0.9359,_1.034,0.6408,0.5304,_1.752,_1.251,_0.7652,_1.653,_1.352,_1.352,_1.407,1.585,1.351,_0.0373,_0.2759,_0.1937,0.6253,0.3525,0.0348,_0.4552,_0.4528,_1.252,_0.0432,0.046,_0.3553,0.879,0.9849,0.0613,0.4269,_0.1107
_1.975,_1.076,_1.229,0.8287,_0.2241,_0.5778,_0.4486,_1.167,_1.776,0.636,_0.9908,_0.199957142857143,_0.787,0.7423,0.7691,0.3757,_0.0178,0.4757,0.0743,0.9161,_0.3447,_1.133,_0.1249,0.4975,0.24461,_1.133,0.9242,2.532,_0.0189,_0.3228,0.1292
_1.643,_1.7,_0.4628,_2.182,_1.501,_1.457,_1.573,_1.233,_1.124,_0.0462,_1.127,_1.578,0.0034,_0.1333,_0.587,2.175,_1.324,0.472,3.334,0.8722,0.1124,_1.481,_1.199,_0.0895,_9e_04,_0.0381,0.182,_0.17019,0.4607,0.3083,0.0203
_1.241,_1.713,_1.528,_0.882,_0.5182,_0.8467,_0.7371,_1.275,_0.6924,_0.8078,_1.802,_0.2687875,0.6163,0.6053,_0.2515,0.6608,_0.5859,0.8421,1.178,0.7315,_0.9599,_1.366,_1.689,0.7355,_0.3816,0.1656,0.2375,2.772,1.083,_0.7261,_0.901
_3.574,_2.64,_1.577,_2.276,_0.3999125,1.153,1.18,0.27199,_0.7606,_0.5164,_0.7098,1.108,1.168,2.008,0.4673,1.642,_2.479,1.708,0.8083,0.9242,0.0601,0.60046,1.192,0.1442,_1.618,_0.9434,1.009,_0.47374,_0.722,_0.389788888888889,_1.134
_0.6964,_1.803,_1.898,_2.4,_1.006,0.8697,0.2812,_0.5826,_0.4826,_0.8063,_1.438,0.5842,0.1981,1.101,0.5344,0.0972,_1.482,0.134,2.045,0.5162,_0.5483,0.2052,_0.09081,0.0784,_0.4301,1.887,0.1277,1.289,_1.297,0.4849,0.3588
_0.4779,_1.462,_0.9814,_1.092,0.6573,_1.306,_1.16,_1.22,_1.572,_0.9231,0.74149,0.1055,0.923325,1.684,0.1436,0.9855,0.0177,0.2741,1.262,0.3638,0.3115,0.0405,0.3711,0.6876,_0.7789,0.2255,0.0184,1.133,_1.745,0.4005,1.596
1.086,_1.568,_1.448,_0.054,0.3272,_1.432,_1.194,_0.9929,_1.213,_0.3479,_0.2504,0.9341,1.13,1.577,_0.4573,0.5573,_0.7667,0.8483,0.7375,0.517,_0.3449,0.1867,_0.5379,0.0702,_1.988,1.765,1.612,0.8725,_0.0964,0.1366,_0.3094
_0.5421,_0.2195,_1.132,_1.492,_0.492185714285714,_0.0961,_1.154,0.3008,_2.073,_0.3716,0.0625,_0.0295,_0.55155,_0.7707,_0.6779,0.7811,_0.4605,1.665,0.8163,1.106,1.257,_0.5833,2.359,_0.2807,_1.963,_0.8329,_0.77031,_0.90256,_0.4113,0.2262,_0.8837
_0.5841,_0.5333,_0.6554,_1.011,_0.661333333333333,_0.4678,_1.121,0.5912,_1.23,_0.4177,0.1903,0.1072,0.2227,0.6813,_0.2292,0.4929,_0.3394,0.1059,0.0752,1.121,1.241,_0.8333,2.443,0.2038,_0.30324,_0.5022,0.4632,_0.9217,0.3758,0.8463,_0.4368
_1.02,_0.6525,_1.067,_2.113,_0.60473,_0.0651,_0.7484,0.5023,_0.5308,0.0714,_0.0129,0.2316,0.1035,0.4605,_0.3134,0.5839,_0.4694,0.2378,0.1534,1.049,0.9699,_0.9696,2.546,0.0331,_1.116,_0.3541,0.5105,_0.2277,_0.1307,0.7598,9e_04
0.7124,_3.369,_3.46,_1.1464375,_0.475557142857143,_1.44,_1.948,_1.357,1.733,0.7861,_0.1086,0.0978,0.501622222222222,1.924,1.606,2.241,_0.5908,2.751,0.8325,_0.3216,_0.963,_2.885,1.284,_0.4686,_2.178,_0.2227,0.0433,1.888,2.416,_1.726,_1.328
0.848,_3.014,_4.297,_3.121,_1.408,_1.428,_1.587,_2.086,1.656,0.4024,0.0264,0.7372,1.237,1.656,1.339,2.26,_0.6064,1.793,1.688,_0.3994,_0.9105,_2.396,2.222,0.1164,_2.17,_0.3834,0.6562,0.0106,2.275,_0.8869,_1.54
_1.028,_1.111,_2.453,_2.236,_1.482,_1.409,_1.326,_0.50942,0.268,0.3191,_1.04,_0.3405,_0.049,_0.2394,2.413,1.987,_0.5329,0.0471,2.175,_0.1689,_0.6091,_1.049,0.3925,0.5128,_1.63,_0.1024,_0.563,1.161,_0.5726,_1.269,_0.8501
2.332,_1.461,_2.511,_2.063,0.4828,_0.7949,_2.632,_0.8434,_1.254,_0.9528,_1.294,0.4441,0.0809,0.4456,2.197,2.013,1.045,1.954,2.069,_0.1502,_0.3051,_1.035,0.6804,_0.3223,_1.383,_1.093,1.062,0.6677,0.8514,0.0042,_1.172
_0.6966,_0.566,_0.2942,_0.2292,_0.2596,_0.9221,_0.6106,_1.255,_1.153,_0.6518,0.318,_0.4673,0.2916,_0.8789,0.7327,1.264,_0.6938,0.4153,1.982,_0.2052,_0.1552,_1.333,0.3576,_0.1831,_0.6439,_0.5752,_0.191,0.0148,_0.1886,1.377,0.9993
_1.022,_1.639,_3.351,_3.273,_1.819,_2.095,_2.987,_0.9263,_1.215,_0.5918,_0.8001,_2.673,1.027,0.2672,2.624,5.171,_1.437,1.192,3.499,1.938,0.9427,_2.784,1.475,0.8577,_2.201,_2.43,_0.9616,_2.241,0.3623,2.175,0.681
1.066,_1.586,_0.4394,_1.525,_1.678,_0.3007,_0.9038,_1.385,_1.442,_1.263,_1.359,0.6038,_0.0496,0.1925,1.653,2.152,_1.289,_0.956,_0.0648,1.385,1.431,_2.18,0.5227,0.6203,0.0517777777777777,_2.072,0.9125,_0.5954,_0.12796,2.86,1.563
0.0614125,_0.4603,_0.3618,_1.988,_0.4549,0.6143,0.4418,_0.6564,_1.719,_1.637,_2.391,0.5525,_0.01898,0.3776,1.7,2.797,_0.7528,0.37164,0.153666666666667,2.113,_3.594,_0.58812,_0.2052,0.7686,_3.158,_2.228,1.262,0.4319,0.5503,2.285,2.257
1.246,_0.8042,_0.6178,_1.64,_0.0230142857142857,0.1197,_0.2459,_1.074,_1.595,_2.067,_0.8832,0.7514,_0.0382571428571429,_0.1985,1.421,2.436,_0.943,0.3478,0.1737125,1.823,0.82071,_2.252,0.1371,0.799,_3.745,_2.554,0.643,_0.1598,0.9494,1.20564,1.548
1.051,_0.8218,_0.7134,_1.885,_1.153,0.2287,_0.0151,_0.8157,_1.754,_1.57,_0.8203,0.4538,0.4339,0.2957,1.325,2.133,_0.9295,0.1917,2.58,2.074,0.61456,_2.205,0.4075,1.206,_3.625,_2.242,0.9236,0.0502,0.502,1.905,1.10332
0.7746,_0.7443,0.6208,_2.869,_0.472283333333333,0.0373,0.906,_0.8045,_1.478,_1.701,_0.9523,_1.673,_0.4949,0.4337,0.6438,1.627,_1.073,0.8193,0.592175,0.7421,1.175,_2.326,0.394,1.003,_3.038,_2.049,0.4884,_0.4299,1.216,0.9633,0.5902
0.2127,_1.367,_0.7274,_0.5371,_0.45529,_0.0964,0.4361,_0.8176,_1.211,_1.6,_0.7749,_0.219,_0.306775,_0.5538,0.1348,0.8144,_1.594,_0.4883,_0.04854,1.03,1.344,_1.238,0.0469,0.6246,_2.405,0.1933,0.7956,_0.5535,0.1093,1.752,1.452
_0.0279,_1.666,_1.329,_1.477,_1.155,0.1736,_0.0327,_1.454,_1.281,_1.85,_1.003,_0.7267,_0.6028,_0.83,0.4363,0.9423,_1.6,0.125,1.951,1.454,1.154,_1.593,0.8103,0.7563,_2.782,0.4221,0.4937,_0.6621,0.1117,1.756,1.399
0.3849,_0.312,_0.5158,_0.6385,_1.081,_1.424,_1.706,_1.06,_0.0129,_1.729,_0.6611,_0.6257,0.125,0.1203,_0.3235,0.0472,_1.538,0.6267,1.574,1.433,1.266,_0.815,0.194,0.0604,_0.1684,_0.7336,_0.0542,_0.9135,_0.8376,2.254,1.938
0.0907,_2.053,_1.934,_2.517,_1.728,_3.036,_1.21016,_1.431,0.7781,_0.5282,_1.988,_1.75,1.974,1.851,0.0406,1.616,0.8525,2.135,2.206,_0.2156,_0.3632,_0.3086,_0.31,0.641,_0.442711111111111,_0.0918,_0.4314,0.8927,_2.991,0.8311,0.9405
_0.4124,_0.5235,_1.094,_0.5823,_0.4086,_0.9859,_0.0232,_1.588,_0.188,0.4463,_0.641,_0.3881,_0.8013,_0.1206,_0.2919,_0.5678,0.4501,0.1147,0.1827,_0.3388,0.3655,0.1904,_1.374,0.5704,_0.78091,_1.177,_1.163,_0.81085,_0.8897,1.45,0.5915
_0.7527,_1.625,_1.27,_0.2058,_2.229,_0.6186,_0.5038,_0.333,_0.7503,1.327,_1.797,2.442,_1.91,_2.169,0.1625,_0.6264,0.2215,0.9626,0.2653,0.5358,1.292,3.131,_2.579,2.789,_1.10615555555556,_1.493,_0.2959,_0.9433,_2.919,_0.6995,_0.6179
_0.15464,_1.341,_0.752,_1.267,_1.372,_0.7664,_0.8762,_1.843,0.5141,0.3024,_1.559,0.9933,_1.481,_1.324,_0.4539,_0.6303,1.78,0.6541,1.155,_0.4529,1.61,2.252,_3.325,2.288,_1.215,_0.9099,_1.55,_0.6518,_1.896,_0.65519,_0.025
0.8582,_1.336,_0.21,_1.239,_0.185342857142857,_0.8827,0.711,_1.862,0.7227,_0.0017,_2.256,1.385,_1.873,_1.418,_0.8032,_0.9508,1.89,_0.0182,0.1662,_0.1864,2.107,2.082,_2.67,2.633,_0.470166666666667,_0.6118,_1.548,_1.162,_2.965,0.2024,_0.1231
0.6811,_0.1294,_0.7099,_1.584,0.2613,_3.822,_4.117,_3.431,0.05318,0.9316,_0.3191,_1.279,_0.4131,_1.218,0.2474,_3.896,4.596,0.3692,_2.181,_1.176,2.802,1.416,_2.513,2.493,_1.485,_2.877,_2.869,_3.123,_3.781,1.576,0.5664
0.2286,_1.167,_0.4432,_1.101,_1.656,_0.12742,_1.25,_2.615,2.076,_0.3285,_1.638,_1.526,_3.788,_1.42,_0.5337,_1.477,3.925,0.1374,_0.852,_1.397,2.198,0.3537,_1.434,1.724,_1.857,0.8397,_0.241,_4.623,_1.849,_0.7969,0.4164
2.195,_1.94,_0.21487,_2.178,_0.2085,_2.095,_0.66899,_1.516,1.932,1.463,0.85,_1.098,_0.8764,_2.573,_0.5307,_0.4425,1.567,0.8843,1.18204,0.3832,1.276,_0.6339,_1.786,0.8882,_0.6686,1.232,_1.177,_2.007,_0.5806,_0.8545,_1.323
1.845,_1.649,_1.728,_1.8,_0.6716,_2.361,_1.645,_1.914,2.078,1.591,0.7922,_0.7056,_0.82985,_1.957,_1.023,_0.4234,1.147,0.7686,2.49,0.8475,0.6772,_0.4493,_1.264,0.6709,_0.0366,1.244,_1.004,_2.19,_1.768,_0.6898,_1.326
0.3672,_0.3941,0.4726,1.393,2.461,_0.2655,_1.28,_0.2845,1.176,_0.7693,_2.384,_0.35873,_1.458,_1.756,_0.8185,0.9764,_0.9018,1.124,2.78,_1.413,_1.292,0.30675,_1.226,0.2529,_0.5656,_0.9566,_0.2043,_1.785,0.1257,_0.2124,_0.8068
1.329,_0.2228,0.5148,0.0338,0.4616,_0.6279,0.2322,1.122,0.2964,_0.5074,_2.437,_0.3763,_0.623,1.046,0.8726,_0.2468,_1.124,0.609,1.651,_1.323,_1.313,1.475,_0.7053,_0.3365,_1.806,_0.412,_1.694,_1.978,_0.8673,_1.115,_0.6014
0.6634,_0.3424,0.0735,_0.4775,_0.02016,0.6243,0.4951,0.4624,_0.1048,_2.168,_0.5708,_0.5914,_0.948211111111111,_1.245,_1.302,_0.5661,_1.984,1.371,0.323411111111111,_0.5249,_0.6543,_0.2811,1.049,_0.227,_0.4433,_0.2436,0.3325,_0.3439,_0.32669,1.018,0.8266
0.5272,_0.1142,0.8807,_0.5332,0.4663,_0.5839,_0.6599,0.1921,0.8575,_0.135,_3.4,_1.234,_1.2,_1.724,0.2466,0.4003,0.3994,0.0399,_0.6506,_0.3853,_0.4941,_0.1056,1.309,_0.5262,_0.7628,_0.2736,_0.9411,_1.256,_0.6252,0.4241,0.5598
